drive,target_m,i0,i1,dist_m,dur_s,speed_kmh,cal_scale,err_frozen,err_AI + gyro,err_AI + road,err_perfect + road,err_AI cal + road
S-S2,500.0,50536,50897,510.87694572270266,36.100000000000364,50.94617741278978,1.0206196895775708,492.20221501769134,259.25417210140563,55.207174677981456,7.592565189295467,45.905981324190115
S-S2,500.0,50716,51666,509.87228460524784,95.0,19.321476048198868,0.9466309568329061,319.04088906043364,351.8855637849687,117.76157629330889,6.681360877026639,84.61689680058525
S-S2,500.0,50897,51936,631.9175630255922,103.89999999999964,21.89512249174341,0.9654925802987582,420.41897726403715,302.4143454613821,177.23764229118942,29.66467202247799,150.33946110262676
S-S2,500.0,51376,52027,622.8137549555904,65.10000000000036,34.44131363809697,0.9349018833352787,502.3774888308861,132.00371414752794,36.667837313234116,21.973329909521482,4.886581572595421
S-S2,500.0,51846,52116,528.2388044717591,27.0,70.43184059623455,0.8483281381293216,518.8847887531183,201.9351154143584,160.89071650618027,0.493800709702385,215.92581831180703
S-S2,500.0,51936,52206,579.5408495200027,27.0,77.27211326933369,0.9001416088818907,569.9820843992339,321.4165931759614,198.90395472567607,2.0211536257859097,236.97159590841017
S-S2,500.0,52116,52386,637.0443644845509,27.0,84.93924859794012,0.985723726429315,637.0378121538774,208.5785886415005,199.5397512375995,0.8643524974961572,205.77219170615882
S-S2,500.0,52206,52477,591.4637616335749,27.100000000000364,78.57083180372108,1.1274731009557628,591.1801534665574,158.02335362377823,149.33843053938014,1.70235737975249,92.96907585101009
S-S2,500.0,52297,52656,695.5991256242705,35.899999999999636,69.75367276455151,1.1700900439142596,694.2545154823857,200.06752388124758,100.07208420975972,7.002792738566925,7.161835208334873
S-S2,500.0,52477,52746,572.8302064701711,26.899999999999636,76.66129157221724,1.2274541916698578,572.821345126417,154.94021197948138,121.35247982694314,8.130293120238994,20.181658952334367
S-S2,500.0,52566,52836,702.3531137277096,27.0,93.64708183036127,1.1732722178607635,702.3412802426644,272.7052109347954,269.9401215304803,6.458552966023315,194.92828810870037
S-S2,500.0,52656,52926,713.5420933943387,27.0,95.13894578591183,1.196003906981261,711.932713254825,301.18538480842744,303.31169912080185,7.166228633941127,223.33715711788665
S-S2,500.0,52836,53106,709.6657600434992,27.0,94.62210133913322,1.25,697.5761780216277,335.3574936338071,272.0967601485777,7.106109021011651,162.07545039354457
S-S2,500.0,52926,53196,747.0121188859048,27.0,99.60161585145397,1.25,746.9851802102279,360.0161778580172,292.45188827120245,2.1755093478324348,178.6186055233897
S-S2,500.0,53016,53196,507.76277336734347,18.0,101.5525546734687,1.25,507.76264475419475,204.07915044210088,204.32985213514456,2.063128564376686,128.29088160164412
S-S2,500.0,53106,53286,517.1422608968714,18.0,103.42845217937429,1.25,517.1327845017527,225.02822726871995,225.27733550840387,3.6353115120470063,152.18553223181195
S-S2,500.0,53196,53376,507.1144300726155,18.0,101.4228860145231,1.25,507.09103167610675,227.37083722694297,227.98519157976267,1.2351647183768117,157.98383348871857
S-S2,500.0,53286,53646,553.6095445105238,36.0,55.360954451052386,1.25,538.8140076999223,48.25796534691312,55.37813214938439,1.5508509327688955,69.38357529683516
S-S2,500.0,53376,53916,516.4683295923824,54.0,34.43122197282549,1.25,432.99061517191035,250.04225014132777,159.82352291643866,4.035044845912666,328.77839775600734
S-S2,500.0,53467,54096,550.3911032213509,62.899999999999636,31.50092164700914,1.25,421.8555882066369,487.81366927489427,186.001267429013,3.5175175980308513,369.82706341356356
S-S2,500.0,53646,54366,544.7082635612533,72.0,27.235413178062664,1.25,332.6719538350337,1019.016422211157,248.43105948723212,7.63737406275824,444.91180940578334
S-S2,500.0,54006,54976,525.4701713029281,97.0,19.501985739077742,1.25,275.14370964509214,878.3652702395015,361.8909075129912,24.66115363697351,488.8840327578515
S-S2,500.0,54366,55246,500.1313659060397,88.0,20.45991951433799,0.9786975099399261,143.74964981750438,908.5427504575755,308.0422961034314,14.065822446157064,291.12555477750254
S-S2,500.0,54796,55517,541.3725637195457,72.10000000000036,27.03108501234889,0.8,428.1876858777594,1122.6840016974568,261.7832886515939,3.514321612367521,101.65727623136573
S-S2,500.0,55156,55966,559.9728721989595,81.0,24.887683208842645,0.8,492.72012210184164,721.1877462594067,205.745600490392,4.52885445923048,53.4097817769365
S-S2,500.0,55517,56416,522.5568116171416,89.89999999999964,20.925523045847804,0.8,66.05820553842653,643.3937948184682,214.49764905634152,8.092819402058746,67.71076093578559
