held_out,draw,scenario,shape_median_m,shape_p95_m,drift_pct
94CC_6RQ-2026-08-30_16-39-43,0,"all others, median",1.9882229618325813,3.651527604180924,0.6592732331604956
94CC_6RQ-2026-08-30_16-39-43,1,1 contributor,4.839029163859221,47.535446142196676,9.246511689423626
94CC_6RQ-2026-08-30_16-39-43,1,3 contributors,2.1250132119731657,5.599696724041533,0.979833665275256
94CC_6RQ-2026-08-30_16-39-43,1,faulty contributor alone,3.3176650534710266,40.63287410717256,16.622346418323755
94CC_6RQ-2026-08-30_16-39-43,1,"3 incl. faulty, averaged",5.40057253678143,16.891162859072857,4.58051769524244
94CC_6RQ-2026-08-30_16-39-43,1,"3 incl. faulty, median",1.9317533040697668,5.357555901399444,1.373494344226386
94CC_6RQ-2026-08-30_16-39-43,2,1 contributor,3.2241560691313857,6.910934550026455,1.101319916681384
94CC_6RQ-2026-08-30_16-39-43,2,3 contributors,2.5350292119301168,6.9202742307098895,0.9114729564426565
94CC_6RQ-2026-08-30_16-39-43,2,faulty contributor alone,1.4981846909566046,36.62933117485645,7.258881220642071
94CC_6RQ-2026-08-30_16-39-43,2,"3 incl. faulty, averaged",2.5866610914174175,13.59856740752083,2.440099457460217
94CC_6RQ-2026-08-30_16-39-43,2,"3 incl. faulty, median",2.701391157371973,6.913369618755254,0.9398294284053779
94CC_6RQ-2026-08-30_16-39-43,3,1 contributor,3.1806554163803713,34.76252633186761,0.9159852724081355
94CC_6RQ-2026-08-30_16-39-43,3,3 contributors,1.6530460910362381,4.075127890807714,1.1153727833513616
94CC_6RQ-2026-08-30_16-39-43,3,faulty contributor alone,1.874428021565093,36.15649272306026,9.189457428137555
94CC_6RQ-2026-08-30_16-39-43,3,"3 incl. faulty, averaged",2.406582107068805,13.302985757812289,6.720162587754487
94CC_6RQ-2026-08-30_16-39-43,3,"3 incl. faulty, median",1.5421882194696692,4.086392352024235,6.661272081454673
94CC_6RQ-2026-08-30_16-39-43,4,1 contributor,4.839029163859221,47.535446142196676,9.246511689423626
94CC_6RQ-2026-08-30_16-39-43,4,3 contributors,2.1250132119731657,5.599696724041533,0.979833665275256
94CC_6RQ-2026-08-30_16-39-43,4,faulty contributor alone,2.873651199448438,40.718018953069965,15.518914227535213
94CC_6RQ-2026-08-30_16-39-43,4,"3 incl. faulty, averaged",5.536422207310086,17.901947523536496,4.6767419204484595
94CC_6RQ-2026-08-30_16-39-43,4,"3 incl. faulty, median",2.296552270283207,5.598618738370357,1.056003746935617
94CC_6RQ-2026-08-30_16-39-43,5,1 contributor,2.154943491745625,9.990179356661798,0.7182507621680762
94CC_6RQ-2026-08-30_16-39-43,5,3 contributors,2.3599057595566886,5.586387122151498,0.5315638434470791
94CC_6RQ-2026-08-30_16-39-43,5,faulty contributor alone,5.366472101866985,39.56064914341871,12.403838466419026
94CC_6RQ-2026-08-30_16-39-43,5,"3 incl. faulty, averaged",5.007411586151758,13.230206409300127,2.8255034903844094
94CC_6RQ-2026-08-30_16-39-43,5,"3 incl. faulty, median",2.301282088294551,5.583872704506866,1.3128402020072092
94CC_6RQ-2026-08-30_16-39-43,6,1 contributor,1.2181836975142324,4.660240076797286,1.9028940031729467
94CC_6RQ-2026-08-30_16-39-43,6,3 contributors,1.3238259614505747,3.8526266983246757,0.5441944475815734
94CC_6RQ-2026-08-30_16-39-43,6,faulty contributor alone,7.509827535449592,41.0052674109335,10.734536025932181
94CC_6RQ-2026-08-30_16-39-43,6,"3 incl. faulty, averaged",3.2333985740812623,12.46435306212094,4.802939873814065
94CC_6RQ-2026-08-30_16-39-43,6,"3 incl. faulty, median",1.3237184891907068,3.8875303417065163,0.5440295765448104
94CC_6RQ-2026-08-30_16-39-43,7,1 contributor,2.154943491745625,9.990179356661798,0.7182507621680762
94CC_6RQ-2026-08-30_16-39-43,7,3 contributors,1.6031182748576835,4.8047350148744155,1.9730631523407627
94CC_6RQ-2026-08-30_16-39-43,7,faulty contributor alone,2.9364159863017396,39.83158479302034,9.231033176551355
